DATAFLOW,LAST UPDATE,freq,statinfo,unit,currency,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,CZK,2020,26.455,
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,GBP,2020,0.88970,
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,JPY,2020,121.85,
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,PLN,2020,4.4430,
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,SEK,2020,10.4848,
ESTAT:ERT_BIL_EUR_A(1.0),11/05/21 23:00:00,A,AVG,NAC,USD,2020,1.1422,
