DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,AT,2020,32810.09,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,CZ,2020,302118.65,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,JP,2020,4026986.87,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,PL,2020,46229.16,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,SE,2020,350906.79,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,UK,2020,32068.95,
ESTAT:EARN_NT_NET(1.0),09/03/21 11:00:00,A,NAC,NET,P1_NCH_AW100,US,2020,46714.66,
